time 600 560 0,abs 600 560 0,old_name,new_name
88.9940984,2.265,,
89.0906985,2.29,,
89.190646,2.255,,
89.2906908,2.256,,
89.3906924,2.281,,
89.4905727,2.286,,
89.5904687,2.246,,
89.6904464,2.254,,
89.7906102,2.278,,
89.8926357,2.269,,
89.9905759,2.286,,
90.0904262,2.288,,
90.1935568,2.247,,
90.2904302,2.269,,
90.3913,2.246,,
90.4924129,2.243,,
90.5905602,2.279,,
90.6905599,2.263,,
90.7905128,2.259,,
90.8919352,2.286,,
90.9904771,2.296,,
91.0908472,2.284,,
91.1918236,2.25,,
91.2903088,2.266,,
91.3918796,2.265,,
91.4908942,2.27,,
91.5902777,2.227,,
91.6958715,2.267,,
91.790459,2.246,,
91.8909809,2.269,,
91.991598,2.261,,
92.0906242,2.286,,
92.190762,2.262,,
92.2903522,2.264,,
92.3907412,2.223,,
92.4906652,2.289,,
92.5902098,2.258,,
92.6900159,2.251,,
92.7903375,2.261,,
92.8903145,2.275,,
92.9929233,2.281,,
93.0917349,2.267,,
93.1903596,2.284,,
93.2901403,2.305,,
93.3902717,2.269,,
93.4902412,2.275,,
93.5900753,2.284,,
93.6922241,2.289,,
93.7902214,2.296,,
93.8901536,2.245,,
93.9900432,2.29,,
94.0916059,2.317,,
94.2005831,2.291,,
94.2966233,2.261,,
94.3904588,2.285,,
94.4899955,2.286,,
94.5899951,2.25,,
94.6902206,2.316,,
94.7900218,2.275,,
94.889935,2.28,,
94.9899913,2.259,,
95.0935978,2.302,,
95.189936,2.264,,
95.293015,2.273,,
95.3903449,2.274,,
95.4904381,2.288,,
95.5903965,2.266,,
95.6904381,2.251,,
95.7903414,2.282,,
95.8899055,2.267,,
95.9897677,2.279,,
96.0900336,2.269,,
96.1915163,2.27,,
96.289899,2.301,,
96.3898268,2.287,,
96.492598,2.298,,
96.5899452,2.255,,
96.6899635,2.279,,
96.7898026,2.273,,
96.9024583,2.301,,
96.9931661,2.273,,
97.0898997,2.248,,
97.1898598,2.272,,
97.2897556,2.279,,
97.3954394,2.245,,
97.4927188,2.256,,
97.5897416,2.245,,
97.6897408,2.288,,
97.7898217,2.288,,
97.8896726,2.282,,
97.9897086,2.253,,
98.0916896,2.291,,
98.1896894,2.267,,
98.2929474,2.28,,
98.3896763,2.267,,
98.4898029,2.289,,
98.5898917,2.247,,
98.6909519,2.27,,
98.7898877,2.264,,
98.8897143,2.271,,
